epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2390.86,1.53618,0.76657,0.92085,0.83047,0.74341,0.79974,0.45689,1.59679,0.78802,0.93347,0.0005941,0.0005941,0.0005941
43,2447.22,1.55471,0.7668,0.92037,0.83514,0.75404,0.80254,0.48199,1.49306,0.7526,0.92222,0.0005842,0.0005842,0.0005842
44,2503.93,1.5689,0.76586,0.91895,0.81218,0.73545,0.78971,0.45676,1.51395,0.79718,0.91516,0.0005743,0.0005743,0.0005743
45,2560.11,1.54872,0.76196,0.91466,0.81971,0.73238,0.77501,0.44579,1.58927,0.7879,0.93901,0.0005644,0.0005644,0.0005644
46,2616.06,1.48604,0.7384,0.90994,0.83149,0.7469,0.7989,0.4827,1.46224,0.75358,0.91409,0.0005545,0.0005545,0.0005545
47,2671.77,1.49129,0.72874,0.91138,0.84116,0.75266,0.80512,0.49362,1.44741,0.74123,0.9172,0.0005446,0.0005446,0.0005446
48,2727.45,1.50503,0.74261,0.91121,0.83991,0.74608,0.8045,0.47825,1.4949,0.75557,0.92227,0.0005347,0.0005347,0.0005347
49,2782.98,1.4853,0.73779,0.91036,0.8429,0.75147,0.80718,0.49307,1.46769,0.73605,0.91721,0.0005248,0.0005248,0.0005248
50,2838.35,1.48153,0.74539,0.91176,0.82142,0.74998,0.80122,0.48543,1.44826,0.758,0.91199,0.0005149,0.0005149,0.0005149
51,2894.02,1.4816,0.74042,0.91322,0.83172,0.74763,0.79709,0.48678,1.44564,0.75756,0.91297,0.000505,0.000505,0.000505
52,2949.82,1.52662,0.76017,0.91377,0.83042,0.74414,0.79752,0.46556,1.52276,0.76103,0.92106,0.0004951,0.0004951,0.0004951
53,3005.13,1.47274,0.73071,0.91181,0.83876,0.75142,0.80736,0.49244,1.44453,0.73401,0.91253,0.0004852,0.0004852,0.0004852
54,3061.31,1.47717,0.73406,0.9124,0.83429,0.74727,0.80037,0.49058,1.44509,0.74634,0.91911,0.0004753,0.0004753,0.0004753
55,3117.51,1.50195,0.73694,0.91107,0.84014,0.75217,0.80384,0.48124,1.47836,0.7435,0.91594,0.0004654,0.0004654,0.0004654
56,3173.51,1.46303,0.71969,0.90365,0.83724,0.75181,0.80863,0.49617,1.43551,0.73783,0.91011,0.0004555,0.0004555,0.0004555
57,3228.96,1.44784,0.71498,0.90724,0.83634,0.74851,0.80586,0.49516,1.42718,0.72912,0.90576,0.0004456,0.0004456,0.0004456
58,3284.54,1.4393,0.71466,0.90398,0.8425,0.75663,0.81283,0.50031,1.41784,0.71436,0.90641,0.0004357,0.0004357,0.0004357
59,3339.94,1.4504,0.71183,0.90513,0.84534,0.75696,0.81037,0.49765,1.43088,0.74083,0.90975,0.0004258,0.0004258,0.0004258
60,3395.52,1.42935,0.70295,0.90348,0.84814,0.75899,0.81435,0.50393,1.40936,0.7172,0.90413,0.0004159,0.0004159,0.0004159
61,3450.86,1.42356,0.70152,0.90093,0.84282,0.75379,0.8104,0.50285,1.40785,0.71565,0.90641,0.000406,0.000406,0.000406
62,3506.42,1.45788,0.70607,0.9027,0.84957,0.76037,0.81595,0.51059,1.39736,0.70642,0.90544,0.0003961,0.0003961,0.0003961
63,3561.61,1.47077,0.72193,0.9059,0.84821,0.7555,0.81226,0.49716,1.42892,0.72333,0.90694,0.0003862,0.0003862,0.0003862
64,3617,1.43857,0.70629,0.90043,0.82825,0.76199,0.80829,0.49953,1.41061,0.71429,0.90784,0.0003763,0.0003763,0.0003763
65,3672.38,1.43211,0.69029,0.90454,0.82622,0.75509,0.8044,0.49526,1.43035,0.72866,0.90724,0.0003664,0.0003664,0.0003664
66,3727.52,1.46779,0.71309,0.90368,0.84724,0.75087,0.81247,0.4938,1.44579,0.71405,0.91435,0.0003565,0.0003565,0.0003565
67,3782.7,1.42742,0.69709,0.90002,0.84149,0.76252,0.81362,0.50544,1.40668,0.71299,0.89991,0.0003466,0.0003466,0.0003466
68,3838.3,1.42723,0.69292,0.8985,0.8588,0.75006,0.8167,0.50241,1.41329,0.71166,0.90484,0.0003367,0.0003367,0.0003367
69,3893.65,1.41977,0.68783,0.90246,0.84076,0.7615,0.81103,0.49628,1.44101,0.70681,0.90775,0.0003268,0.0003268,0.0003268
70,3949,1.43084,0.69429,0.89994,0.85375,0.75939,0.81407,0.51145,1.3854,0.69387,0.90133,0.0003169,0.0003169,0.0003169
71,4004.77,1.42439,0.68965,0.89792,0.84677,0.75202,0.81096,0.50617,1.39126,0.70556,0.89978,0.000307,0.000307,0.000307
72,4062.37,1.41818,0.68702,0.9,0.85577,0.75833,0.81778,0.51584,1.38601,0.69799,0.90098,0.0002971,0.0002971,0.0002971
73,4117.69,1.40751,0.68354,0.89886,0.85378,0.75988,0.81367,0.49857,1.42215,0.70839,0.90134,0.0002872,0.0002872,0.0002872
74,4172.91,1.40375,0.67877,0.89673,0.85222,0.7595,0.81536,0.50966,1.40132,0.69481,0.9034,0.0002773,0.0002773,0.0002773
75,4228.16,1.40894,0.68004,0.89705,0.84838,0.76507,0.81668,0.51083,1.38731,0.69951,0.9027,0.0002674,0.0002674,0.0002674
76,4283.48,1.40081,0.6772,0.89599,0.85533,0.75858,0.81646,0.5125,1.38653,0.69225,0.90249,0.0002575,0.0002575,0.0002575
77,4338.75,1.38606,0.66619,0.89374,0.86127,0.75728,0.81688,0.51463,1.37549,0.68986,0.9001,0.0002476,0.0002476,0.0002476
78,4394.28,1.3968,0.6717,0.89846,0.85109,0.76126,0.81801,0.51641,1.38106,0.68739,0.89882,0.0002377,0.0002377,0.0002377
79,4450,1.39993,0.67616,0.89363,0.86091,0.76029,0.81661,0.51338,1.38284,0.68918,0.90163,0.0002278,0.0002278,0.0002278
80,4505.7,1.38837,0.6689,0.89301,0.85585,0.75858,0.81593,0.51,1.3906,0.69465,0.90044,0.0002179,0.0002179,0.0002179
81,4560.98,1.37648,0.66237,0.89347,0.85787,0.75826,0.81835,0.51657,1.3716,0.68402,0.90121,0.000208,0.000208,0.000208
82,4616.63,1.38194,0.66518,0.8961,0.86071,0.76068,0.81848,0.5157,1.38247,0.6849,0.90428,0.0001981,0.0001981,0.0001981
83,4672.13,1.39719,0.67067,0.89254,0.86179,0.75931,0.81875,0.51787,1.37294,0.68359,0.90029,0.0001882,0.0001882,0.0001882
84,4727.34,1.38854,0.67054,0.89399,0.85119,0.7615,0.81674,0.51709,1.368,0.68632,0.89891,0.0001783,0.0001783,0.0001783
85,4782.9,1.39555,0.66952,0.89574,0.86153,0.76088,0.81836,0.51667,1.37878,0.68424,0.90406,0.0001684,0.0001684,0.0001684
86,4838.46,1.37585,0.66382,0.89169,0.85769,0.75874,0.81692,0.51468,1.38071,0.68491,0.89872,0.0001585,0.0001585,0.0001585
87,4893.48,1.37544,0.65953,0.89228,0.85138,0.76426,0.81733,0.51877,1.36853,0.67936,0.90181,0.0001486,0.0001486,0.0001486
88,4948.88,1.37785,0.66282,0.89103,0.85825,0.76434,0.8192,0.51757,1.36686,0.68042,0.89696,0.0001387,0.0001387,0.0001387
89,5004.51,1.36874,0.65843,0.89328,0.85675,0.76418,0.81958,0.52001,1.36215,0.67417,0.8974,0.0001288,0.0001288,0.0001288
90,5060.1,1.37235,0.65833,0.89319,0.85781,0.76224,0.81882,0.51931,1.36568,0.67394,0.90198,0.0001189,0.0001189,0.0001189
91,5130.78,1.36173,0.65323,0.89264,0.85747,0.75917,0.81769,0.5183,1.35912,0.67838,0.89655,0.000109,0.000109,0.000109
92,5186.4,1.36186,0.65244,0.89301,0.85623,0.75704,0.8167,0.51859,1.35776,0.67942,0.89688,9.91e-05,9.91e-05,9.91e-05
93,5245.19,1.35682,0.65073,0.88711,0.85901,0.75899,0.81886,0.52117,1.36157,0.67661,0.89711,8.92e-05,8.92e-05,8.92e-05
94,5301.65,1.3693,0.65347,0.88888,0.86163,0.7585,0.81877,0.51827,1.36831,0.67721,0.89823,7.93e-05,7.93e-05,7.93e-05
95,5357.01,1.35952,0.64938,0.89086,0.85812,0.76248,0.81945,0.52202,1.36043,0.67557,0.89681,6.94e-05,6.94e-05,6.94e-05
96,5412.32,1.36698,0.65271,0.89156,0.85904,0.76261,0.81887,0.52175,1.35699,0.67626,0.89648,5.95e-05,5.95e-05,5.95e-05
97,5467.5,1.35969,0.64844,0.88898,0.85729,0.76437,0.81892,0.52063,1.35867,0.67744,0.8974,4.96e-05,4.96e-05,4.96e-05
98,5522.75,1.36242,0.64944,0.8906,0.85522,0.76071,0.81842,0.52085,1.35441,0.67709,0.89509,3.97e-05,3.97e-05,3.97e-05
99,5578.53,1.35643,0.65082,0.8873,0.85625,0.76207,0.82013,0.5218,1.35592,0.67583,0.89547,2.98e-05,2.98e-05,2.98e-05
100,5634.18,1.34605,0.64646,0.88682,0.85761,0.7628,0.82071,0.52188,1.35599,0.67478,0.89511,1.99e-05,1.99e-05,1.99e-05
